year,country,brand,sales
2000,Germany,Nissan,208
2000,Germany,Subaru,213
2000,Germany,Toyota,210
2000,Germany,Volkswagen,220
2000,Italy,Audi,240
2000,Italy,BMW,215
2000,Italy,Chevrolet,214
2000,Italy,Chrysler,217
2000,Italy,Dodge,229
2000,Italy,Ford,249
2000,Italy,Honda,197
2000,Italy,Hyundai,229
2000,Italy,Jeep,236
2000,Italy,Kia,245
2000,Italy,Land Rover,241
2000,Italy,Lexus,220
2000,Italy,Mazda,198
2000,Italy,Mercedes-Benz,212
2000,Italy,Nissan,215
2000,Italy,Subaru,213
2000,Italy,Toyota,207
2000,Italy,Volkswagen,226
2000,Japan,Audi,211
2000,Japan,BMW,221
2000,Japan,Chevrolet,212
2000,Japan,Chrysler,212
2000,Japan,Dodge,228
2000,Japan,Ford,243
2000,Japan,Honda,232
2000,Japan,Hyundai,234
2000,Japan,Jeep,219
2000,Japan,Kia,224
2000,Japan,Land Rover,180
2000,Japan,Lexus,238
2000,Japan,Mazda,204
2000,Japan,Mercedes-Benz,203
2000,Japan,Nissan,208
2000,Japan,Subaru,233
2000,Japan,Toyota,237
2000,Japan,Volkswagen,225
2000,Mexico,Audi,188
2000,Mexico,BMW,228
2000,Mexico,Chevrolet,201
2000,Mexico,Chrysler,220
2000,Mexico,Dodge,223
2000,Mexico,Ford,223
2000,Mexico,Honda,246
2000,Mexico,Hyundai,198
2000,Mexico,Jeep,238
2000,Mexico,Kia,230
2000,Mexico,Land Rover,215
2000,Mexico,Lexus,229
2000,Mexico,Mazda,198
2000,Mexico,Mercedes-Benz,213
2000,Mexico,Nissan,214
2000,Mexico,Subaru,250
2000,Mexico,Toyota,234
2000,Mexico,Volkswagen,211
2000,UK,Audi,206
2000,UK,BMW,220
2000,UK,Chevrolet,223
2000,UK,Chrysler,220
2000,UK,Dodge,224
2000,UK,Ford,249
2000,UK,Honda,223
2000,UK,Hyundai,203
2000,UK,Jeep,215
2000,UK,Kia,226
2000,UK,Land Rover,240
2000,UK,Lexus,229
2000,UK,Mazda,229
2000,UK,Mercedes-Benz,224
2000,UK,Nissan,211
2000,UK,Subaru,224
2000,UK,Toyota,231
2000,UK,Volkswagen,233
2000,USA,Audi,216
2000,USA,BMW,219
2000,USA,Chevrolet,254
2000,USA,Chrysler,236
2000,USA,Dodge,202
2000,USA,Ford,222
2000,USA,Honda,220
2000,USA,Hyundai,232
2000,USA,Jeep,223
2000,USA,Kia,225
2000,USA,Land Rover,234
2000,USA,Lexus,237
2000,USA,Mazda,222
2000,USA,Mercedes-Benz,232
2000,USA,Nissan,209
2000,USA,Subaru,230
2000,USA,Toyota,226
2000,USA,Volkswagen,228
2001,Australia,Audi,217
2001,Australia,BMW,256
2001,Australia,Chevrolet,219
2001,Australia,Chrysler,202
2001,Australia,Dodge,212
2001,Australia,Ford,217
2001,Australia,Honda,264
2001,Australia,Hyundai,220
2001,Australia,Jeep,218
2001,Australia,Kia,214
2001,Australia,Land Rover,230
2001,Australia,Lexus,224
2001,Australia,Mazda,228
2001,Australia,Mercedes-Benz,242
2001,Australia,Nissan,255
2001,Australia,Subaru,244
2001,Australia,Toyota,220
2001,Australia,Volkswagen,223
2001,Brazil,Audi,219
2001,Brazil,BMW,221
2001,Brazil,Chevrolet,227
2001,Brazil,Chrysler,192
2001,Brazil,Dodge,240
2001,Brazil,Ford,216
2001,Brazil,Honda,203
2001,Brazil,Hyundai,219
2001,Brazil,Jeep,207
2001,Brazil,Kia,207
2001,Brazil,Land Rover,211
2001,Brazil,Lexus,241
2001,Brazil,Mazda,221
2001,Brazil,Mercedes-Benz,206
2001,Brazil,Nissan,216
2001,Brazil,Subaru,214
2001,Brazil,Toyota,213
2001,Brazil,Volkswagen,225
2001,Canada,Audi,228
2001,Canada,BMW,234
2001,Canada,Chevrolet,190
2001,Canada,Chrysler,213
2001,Canada,Dodge,230
2001,Canada,Ford,213
2001,Canada,Honda,223
2001,Canada,Hyundai,220
2001,Canada,Jeep,207
2001,Canada,Kia,220
2001,Canada,Land Rover,230
2001,Canada,Lexus,198
2001,Canada,Mazda,219
2001,Canada,Mercedes-Benz,237
2001,Canada,Nissan,242
2001,Canada,Subaru,213
2001,Canada,Toyota,219
2001,Canada,Volkswagen,219
2001,France,Audi,236
2001,France,BMW,207
2001,France,Chevrolet,195
2001,France,Chrysler,206
2001,France,Dodge,236
2001,France,Ford,241
2001,France,Honda,207
2001,France,Hyundai,220
2001,France,Jeep,203
2001,France,Kia,229
2001,France,Land Rover,248
2001,France,Lexus,246
2001,France,Mazda,234
2001,France,Mercedes-Benz,223
2001,France,Nissan,206
2001,France,Subaru,221
2001,France,Toyota,224
2001,France,Volkswagen,215
2001,Germany,Audi,221
2001,Germany,BMW,247
2001,Germany,Chevrolet,226
2001,Germany,Chrysler,226
2001,Germany,Dodge,251
2001,Germany,Ford,223
2001,Germany,Honda,229
2001,Germany,Hyundai,228
2001,Germany,Jeep,246
2001,Germany,Kia,218
2001,Germany,Land Rover,239
2001,Germany,Lexus,242
2001,Germany,Mazda,227
2001,Germany,Mercedes-Benz,225
2001,Germany,Nissan,248
2001,Germany,Subaru,209
2001,Germany,Toyota,236
2001,Germany,Volkswagen,203
2001,Italy,Audi,223
2001,Italy,BMW,196
2001,Italy,Chevrolet,224
2001,Italy,Chrysler,238
2001,Italy,Dodge,242
2001,Italy,Ford,217
2001,Italy,Honda,233
2001,Italy,Hyundai,220
2001,Italy,Jeep,203
2001,Italy,Kia,208
2001,Italy,Land Rover,233
2001,Italy,Lexus,216
2001,Italy,Mazda,232
2001,Italy,Mercedes-Benz,196
2001,Italy,Nissan,242
2001,Italy,Subaru,216
2001,Italy,Toyota,207
2001,Italy,Volkswagen,209
2001,Japan,Audi,224
2001,Japan,BMW,204
2001,Japan,Chevrolet,211
2001,Japan,Chrysler,259
2001,Japan,Dodge,202
2001,Japan,Ford,205
2001,Japan,Honda,213
2001,Japan,Hyundai,228
2001,Japan,Jeep,210
2001,Japan,Kia,245
2001,Japan,Land Rover,232
2001,Japan,Lexus,232
2001,Japan,Mazda,207
2001,Japan,Mercedes-Benz,213
2001,Japan,Nissan,234
2001,Japan,Subaru,230
2001,Japan,Toyota,244
2001,Japan,Volkswagen,238
2001,Mexico,Audi,207
2001,Mexico,BMW,223
2001,Mexico,Chevrolet,192
2001,Mexico,Chrysler,239
2001,Mexico,Dodge,210
2001,Mexico,Ford,237
2001,Mexico,Honda,214
2001,Mexico,Hyundai,212
2001,Mexico,Jeep,206
2001,Mexico,Kia,235
2001,Mexico,Land Rover,245
2001,Mexico,Lexus,231
2001,Mexico,Mazda,197
2001,Mexico,Mercedes-Benz,218
2001,Mexico,Nissan,230
2001,Mexico,Subaru,219
2001,Mexico,Toyota,237
2001,Mexico,Volkswagen,230
2001,UK,Audi,226
2001,UK,BMW,222
2001,UK,Chevrolet,230
2001,UK,Chrysler,226
2001,UK,Dodge,229
2001,UK,Ford,224
2001,UK,Honda,226
2001,UK,Hyundai,215
2001,UK,Jeep,221
2001,UK,Kia,228
2001,UK,Land Rover,230
2001,UK,Lexus,224
2001,UK,Mazda,213
2001,UK,Mercedes-Benz,241
2001,UK,Nissan,211
2001,UK,Subaru,224
2001,UK,Toyota,233
2001,UK,Volkswagen,216
2001,USA,Audi,227
2001,USA,BMW,209
2001,USA,Chevrolet,219
2001,USA,Chrysler,211
2001,USA,Dodge,250
2001,USA,Ford,248
2001,USA,Honda,190
2001,USA,Hyundai,223
2001,USA,Jeep,214
2001,USA,Kia,226
2001,USA,Land Rover,241
2001,USA,Lexus,211
2001,USA,Mazda,213
2001,USA,Mercedes-Benz,230
2001,USA,Nissan,228
2001,USA,Subaru,229
2001,USA,Toyota,229
2001,USA,Volkswagen,228
2002,Australia,Audi,223
2002,Australia,BMW,231
2002,Australia,Chevrolet,210
2002,Australia,Chrysler,227
2002,Australia,Dodge,217
2002,Australia,Ford,203
2002,Australia,Honda,235
2002,Australia,Hyundai,262
2002,Australia,Jeep,243
2002,Australia,Kia,216
2002,Australia,Land Rover,221
2002,Australia,Lexus,197
2002,Australia,Mazda,209
2002,Australia,Mercedes-Benz,255
2002,Australia,Nissan,217
2002,Australia,Subaru,219
2002,Australia,Toyota,252
2002,Australia,Volkswagen,237
2002,Brazil,Audi,246
2002,Brazil,BMW,214
2002,Brazil,Chevrolet,193
2002,Brazil,Chrysler,235
2002,Brazil,Dodge,238
2002,Brazil,Ford,239
2002,Brazil,Honda,233
2002,Brazil,Hyundai,223
2002,Brazil,Jeep,244
2002,Brazil,Kia,242
2002,Brazil,Land Rover,203
2002,Brazil,Lexus,221
2002,Brazil,Mazda,211
2002,Brazil,Mercedes-Benz,216
2002,Brazil,Nissan,234
2002,Brazil,Subaru,224
2002,Brazil,Toyota,222
2002,Brazil,Volkswagen,222
2002,Canada,Audi,214
2002,Canada,BMW,215
2002,Canada,Chevrolet,227
2002,Canada,Chrysler,208
2002,Canada,Dodge,226
2002,Canada,Ford,229
2002,Canada,Honda,207
2002,Canada,Hyundai,237
2002,Canada,Jeep,220
2002,Canada,Kia,216
2002,Canada,Land Rover,238
2002,Canada,Lexus,251
2002,Canada,Mazda,196
2002,Canada,Mercedes-Benz,229
2002,Canada,Nissan,223
2002,Canada,Subaru,216
2002,Canada,Toyota,222
2002,Canada,Volkswagen,225
2002,France,Audi,215
2002,France,BMW,178
2002,France,Chevrolet,233
2002,France,Chrysler,256
2002,France,Dodge,257
2002,France,Ford,239
2002,France,Honda,248
2002,France,Hyundai,221
2002,France,Jeep,223
2002,France,Kia,205
2002,France,Land Rover,236
2002,France,Lexus,201
2002,France,Mazda,242
2002,France,Mercedes-Benz,225
2002,France,Nissan,187
2002,France,Subaru,210
2002,France,Toyota,255
2002,France,Volkswagen,234
2002,Germany,Audi,231
2002,Germany,BMW,199
2002,Germany,Chevrolet,195
2002,Germany,Chrysler,222
2002,Germany,Dodge,230
2002,Germany,Ford,217
2002,Germany,Honda,227
2002,Germany,Hyundai,247
2002,Germany,Jeep,252
2002,Germany,Kia,227
2002,Germany,Land Rover,231
2002,Germany,Lexus,219
2002,Germany,Mazda,222
2002,Germany,Mercedes-Benz,236
2002,Germany,Nissan,201
2002,Germany,Subaru,226
2002,Germany,Toyota,223
2002,Germany,Volkswagen,216
2002,Italy,Audi,222
2002,Italy,BMW,235
2002,Italy,Chevrolet,216
2002,Italy,Chrysler,215
2002,Italy,Dodge,214
2002,Italy,Ford,211
2002,Italy,Honda,206
2002,Italy,Hyundai,234
2002,Italy,Jeep,208
2002,Italy,Kia,213
2002,Italy,Land Rover,228
2002,Italy,Lexus,212
2002,Italy,Mazda,209
2002,Italy,Mercedes-Benz,190
2002,Italy,Nissan,224
2002,Italy,Subaru,240
2002,Italy,Toyota,222
2002,Italy,Volkswagen,251
2002,Japan,Audi,219
2002,Japan,BMW,224
2002,Japan,Chevrolet,236
2002,Japan,Chrysler,217
2002,Japan,Dodge,237
2002,Japan,Ford,227
2002,Japan,Honda,230
2002,Japan,Hyundai,223
2002,Japan,Jeep,229
2002,Japan,Kia,231
2002,Japan,Land Rover,210
2002,Japan,Lexus,237
2002,Japan,Mazda,201
2002,Japan,Mercedes-Benz,229
2002,Japan,Nissan,206
2002,Japan,Subaru,226
2002,Japan,Toyota,208
2002,Japan,Volkswagen,218
2002,Mexico,Audi,243
2002,Mexico,BMW,226
2002,Mexico,Chevrolet,191
2002,Mexico,Chrysler,218
2002,Mexico,Dodge,237
2002,Mexico,Ford,199
2002,Mexico,Honda,247
2002,Mexico,Hyundai,210
2002,Mexico,Jeep,226
2002,Mexico,Kia,232
2002,Mexico,Land Rover,239
2002,Mexico,Lexus,203
2002,Mexico,Mazda,213
2002,Mexico,Mercedes-Benz,233
2002,Mexico,Nissan,225
2002,Mexico,Subaru,244
2002,Mexico,Toyota,234
2002,Mexico,Volkswagen,220
2002,UK,Audi,220
2002,UK,BMW,213
2002,UK,Chevrolet,211
2002,UK,Chrysler,222
2002,UK,Dodge,241
2002,UK,Ford,224
2002,UK,Honda,254
2002,UK,Hyundai,215
2002,UK,Jeep,231
2002,UK,Kia,224
2002,UK,Land Rover,232
2002,UK,Lexus,202
2002,UK,Mazda,233
2002,UK,Mercedes-Benz,220
2002,UK,Nissan,194
2002,UK,Subaru,221
2002,UK,Toyota,212
2002,UK,Volkswagen,198
2002,USA,Audi,218
2002,USA,BMW,206
2002,USA,Chevrolet,231
2002,USA,Chrysler,217
2002,USA,Dodge,235
2002,USA,Ford,223
2002,USA,Honda,240
2002,USA,Hyundai,233
2002,USA,Jeep,242
2002,USA,Kia,216
2002,USA,Land Rover,218
2002,USA,Lexus,231
2002,USA,Mazda,218
2002,USA,Mercedes-Benz,229
2002,USA,Nissan,222
2002,USA,Subaru,237
2002,USA,Toyota,235
2002,USA,Volkswagen,243
2003,Australia,Audi,210
2003,Australia,BMW,227
2003,Australia,Chevrolet,244
2003,Australia,Chrysler,233
2003,Australia,Dodge,208
2003,Australia,Ford,232
2003,Australia,Honda,221
2003,Australia,Hyundai,236
2003,Australia,Jeep,238
2003,Australia,Kia,253
2003,Australia,Land Rover,224
2003,Australia,Lexus,223
2003,Australia,Mazda,208
2003,Australia,Mercedes-Benz,222
2003,Australia,Nissan,210
2003,Australia,Subaru,220
2003,Australia,Toyota,225
2003,Australia,Volkswagen,242
2003,Brazil,Audi,239
2003,Brazil,BMW,228
2003,Brazil,Chevrolet,243
2003,Brazil,Chrysler,234
2003,Brazil,Dodge,231
2003,Brazil,Ford,221
2003,Brazil,Honda,238
2003,Brazil,Hyundai,243
2003,Brazil,Jeep,209
2003,Brazil,Kia,232
2003,Brazil,Land Rover,223
2003,Brazil,Lexus,204
2003,Brazil,Mazda,221
2003,Brazil,Mercedes-Benz,240
2003,Brazil,Nissan,219
2003,Brazil,Subaru,200
2003,Brazil,Toyota,244
2003,Brazil,Volkswagen,198
2003,Canada,Audi,212
2003,Canada,BMW,267
2003,Canada,Chevrolet,217
2003,Canada,Chrysler,226
2003,Canada,Dodge,208
2003,Canada,Ford,243
2003,Canada,Honda,216
2003,Canada,Hyundai,235
2003,Canada,Jeep,221
2003,Canada,Kia,206
2003,Canada,Land Rover,226
2003,Canada,Lexus,250
2003,Canada,Mazda,209
2003,Canada,Mercedes-Benz,214
2003,Canada,Nissan,228
2003,Canada,Subaru,226
2003,Canada,Toyota,214
2003,Canada,Volkswagen,220
2003,France,Audi,216
2003,France,BMW,215
2003,France,Chevrolet,228
2003,France,Chrysler,184
2003,France,Dodge,236
2003,France,Ford,207
2003,France,Honda,214
2003,France,Hyundai,220
2003,France,Jeep,194
2003,France,Kia,204
2003,France,Land Rover,216
2003,France,Lexus,210
2003,France,Mazda,223
2003,France,Mercedes-Benz,208
2003,France,Nissan,227
2003,France,Subaru,224
2003,France,Toyota,232
2003,France,Volkswagen,242
2003,Germany,Audi,218
2003,Germany,BMW,219
2003,Germany,Chevrolet,231
2003,Germany,Chrysler,254
2003,Germany,Dodge,213
2003,Germany,Ford,223
2003,Germany,Honda,227
2003,Germany,Hyundai,214
2003,Germany,Jeep,214
2003,Germany,Kia,218
2003,Germany,Land Rover,219
2003,Germany,Lexus,200
2003,Germany,Mazda,231
2003,Germany,Mercedes-Benz,219
2003,Germany,Nissan,237
2003,Germany,Subaru,228
2003,Germany,Toyota,239
2003,Germany,Volkswagen,220
2003,Italy,Audi,218
2003,Italy,BMW,234
2003,Italy,Chevrolet,240
2003,Italy,Chrysler,222
2003,Italy,Dodge,213
2003,Italy,Ford,219
2003,Italy,Honda,202
2003,Italy,Hyundai,253
2003,Italy,Jeep,236
2003,Italy,Kia,206
2003,Italy,Land Rover,244
2003,Italy,Lexus,212
2003,Italy,Mazda,238
2003,Italy,Mercedes-Benz,241
2003,Italy,Nissan,220
2003,Italy,Subaru,234
2003,Italy,Toyota,201
2003,Italy,Volkswagen,222
2003,Japan,Audi,214
2003,Japan,BMW,209
2003,Japan,Chevrolet,201
2003,Japan,Chrysler,232
2003,Japan,Dodge,213
2003,Japan,Ford,223
2003,Japan,Honda,238
2003,Japan,Hyundai,205
2003,Japan,Jeep,235
2003,Japan,Kia,233
2003,Japan,Land Rover,217
2003,Japan,Lexus,229
2003,Japan,Mazda,234
2003,Japan,Mercedes-Benz,214
2003,Japan,Nissan,215
2003,Japan,Subaru,229
2003,Japan,Toyota,242
2003,Japan,Volkswagen,235
2003,Mexico,Audi,223
2003,Mexico,BMW,224
2003,Mexico,Chevrolet,209
2003,Mexico,Chrysler,228
2003,Mexico,Dodge,244
2003,Mexico,Ford,217
2003,Mexico,Honda,231
2003,Mexico,Hyundai,212
2003,Mexico,Jeep,244
2003,Mexico,Kia,218
2003,Mexico,Land Rover,204
2003,Mexico,Lexus,217
2003,Mexico,Mazda,241
2003,Mexico,Mercedes-Benz,201
2003,Mexico,Nissan,213
2003,Mexico,Subaru,223
2003,Mexico,Toyota,237
2003,Mexico,Volkswagen,212
2003,UK,Audi,211
2003,UK,BMW,222
2003,UK,Chevrolet,213
2003,UK,Chrysler,239
2003,UK,Dodge,225
2003,UK,Ford,226
2003,UK,Honda,220
2003,UK,Hyundai,224
2003,UK,Jeep,219
2003,UK,Kia,230
2003,UK,Land Rover,218
2003,UK,Lexus,234
2003,UK,Mazda,217
2003,UK,Mercedes-Benz,240
2003,UK,Nissan,205
2003,UK,Subaru,263
2003,UK,Toyota,222
2003,UK,Volkswagen,208
2003,USA,Audi,253
2003,USA,BMW,215
2003,USA,Chevrolet,205
2003,USA,Chrysler,241
2003,USA,Dodge,216
2003,USA,Ford,204
2003,USA,Honda,211
2003,USA,Hyundai,233
2003,USA,Jeep,245
2003,USA,Kia,215
2003,USA,Land Rover,221
2003,USA,Lexus,228
2003,USA,Mazda,216
2003,USA,Mercedes-Benz,209
2003,USA,Nissan,242
2003,USA,Subaru,218
2003,USA,Toyota,219
2003,USA,Volkswagen,260
2004,Australia,Audi,222
2004,Australia,BMW,203
2004,Australia,Chevrolet,207
2004,Australia,Chrysler,207
2004,Australia,Dodge,229
2004,Australia,Ford,247
2004,Australia,Honda,224
2004,Australia,Hyundai,204
2004,Australia,Jeep,222
2004,Australia,Kia,215
2004,Australia,Land Rover,223
2004,Australia,Lexus,233
2004,Australia,Mazda,230
2004,Australia,Mercedes-Benz,217
2004,Australia,Nissan,229
2004,Australia,Subaru,224
2004,Australia,Toyota,242
2004,Australia,Volkswagen,218
2004,Brazil,Audi,226
2004,Brazil,BMW,225
2004,Brazil,Chevrolet,222
2004,Brazil,Chrysler,205
2004,Brazil,Dodge,188
2004,Brazil,Ford,197
2004,Brazil,Honda,224
2004,Brazil,Hyundai,229
2004,Brazil,Jeep,217
2004,Brazil,Kia,231
2004,Brazil,Land Rover,233
2004,Brazil,Lexus,210
2004,Brazil,Mazda,200
2004,Brazil,Mercedes-Benz,234
2004,Brazil,Nissan,215
2004,Brazil,Subaru,216
2004,Brazil,Toyota,222
2004,Brazil,Volkswagen,229
2004,Canada,Audi,220
2004,Canada,BMW,231
2004,Canada,Chevrolet,230
2004,Canada,Chrysler,224
2004,Canada,Dodge,227
2004,Canada,Ford,212
2004,Canada,Honda,204
2004,Canada,Hyundai,226
2004,Canada,Jeep,234
2004,Canada,Kia,228
2004,Canada,Land Rover,208
2004,Canada,Lexus,212
2004,Canada,Mazda,209
2004,Canada,Mercedes-Benz,262
2004,Canada,Nissan,223
2004,Canada,Subaru,226
2004,Canada,Toyota,241
2004,Canada,Volkswagen,212
2004,France,Audi,212
2004,France,BMW,243
2004,France,Chevrolet,218
2004,France,Chrysler,230
2004,France,Dodge,227
2004,France,Ford,223
2004,France,Honda,251
2004,France,Hyundai,207
2004,France,Jeep,222
2004,France,Kia,226
2004,France,Land Rover,206
2004,France,Lexus,234
2004,France,Mazda,220
2004,France,Mercedes-Benz,212
2004,France,Nissan,217
2004,France,Subaru,198
2004,France,Toyota,228
2004,France,Volkswagen,218
2004,Germany,Audi,213
2004,Germany,BMW,212
2004,Germany,Chevrolet,221
2004,Germany,Chrysler,210
2004,Germany,Dodge,225
2004,Germany,Ford,233
2004,Germany,Honda,232
2004,Germany,Hyundai,237
2004,Germany,Jeep,251
2004,Germany,Kia,217
2004,Germany,Land Rover,204
2004,Germany,Lexus,216
2004,Germany,Mazda,227
2004,Germany,Mercedes-Benz,234
2004,Germany,Nissan,217
2004,Germany,Subaru,225
2004,Germany,Toyota,221
2004,Germany,Volkswagen,229
2004,Italy,Audi,225
2004,Italy,BMW,212
2004,Italy,Chevrolet,209
2004,Italy,Chrysler,221
2004,Italy,Dodge,231
2004,Italy,Ford,209
2004,Italy,Honda,238
2004,Italy,Hyundai,234
2004,Italy,Jeep,227
2004,Italy,Kia,226
2004,Italy,Land Rover,195
2004,Italy,Lexus,199
2004,Italy,Mazda,243
2004,Italy,Mercedes-Benz,243
2004,Italy,Nissan,220
2004,Italy,Subaru,203
2004,Italy,Toyota,196
2004,Italy,Volkswagen,236
2004,Japan,Audi,239
2004,Japan,BMW,221
2004,Japan,Chevrolet,248
2004,Japan,Chrysler,221
2004,Japan,Dodge,215
2004,Japan,Ford,215
2004,Japan,Honda,219
2004,Japan,Hyundai,231
2004,Japan,Jeep,212
2004,Japan,Kia,222
2004,Japan,Land Rover,221
2004,Japan,Lexus,213
2004,Japan,Mazda,216
2004,Japan,Mercedes-Benz,203
2004,Japan,Nissan,204
2004,Japan,Subaru,224
2004,Japan,Toyota,247
2004,Japan,Volkswagen,207
2004,Mexico,Audi,239
2004,Mexico,BMW,237
2004,Mexico,Chevrolet,225
2004,Mexico,Chrysler,242
2004,Mexico,Dodge,240
2004,Mexico,Ford,206
2004,Mexico,Honda,219
2004,Mexico,Hyundai,218
2004,Mexico,Jeep,225
2004,Mexico,Kia,208
2004,Mexico,Land Rover,223
2004,Mexico,Lexus,227
2004,Mexico,Mazda,239
2004,Mexico,Mercedes-Benz,216
2004,Mexico,Nissan,228
2004,Mexico,Subaru,236
2004,Mexico,Toyota,207
2004,Mexico,Volkswagen,234
2004,UK,Audi,246
2004,UK,BMW,209
2004,UK,Chevrolet,225
2004,UK,Chrysler,223
2004,UK,Dodge,203
2004,UK,Ford,217
2004,UK,Honda,210
2004,UK,Hyundai,231
2004,UK,Jeep,223
2004,UK,Kia,217
2004,UK,Land Rover,232
2004,UK,Lexus,229
2004,UK,Mazda,238
2004,UK,Mercedes-Benz,225
2004,UK,Nissan,223
2004,UK,Subaru,212
2004,UK,Toyota,229
2004,UK,Volkswagen,196
2004,USA,Audi,231
2004,USA,BMW,220
2004,USA,Chevrolet,234
2004,USA,Chrysler,220
2004,USA,Dodge,227
2004,USA,Ford,216
2004,USA,Honda,211
2004,USA,Hyundai,245
2004,USA,Jeep,225
2004,USA,Kia,214
2004,USA,Land Rover,228
2004,USA,Lexus,211
2004,USA,Mazda,197
2004,USA,Mercedes-Benz,251
2004,USA,Nissan,225
2004,USA,Subaru,222
2004,USA,Toyota,216
2004,USA,Volkswagen,252
2005,Australia,Audi,207
2005,Australia,BMW,222
2005,Australia,Chevrolet,200
2005,Australia,Chrysler,227
2005,Australia,Dodge,240
2005,Australia,Ford,245
2005,Australia,Honda,245
2005,Australia,Hyundai,201
2005,Australia,Jeep,208
2005,Australia,Kia,189
2005,Australia,Land Rover,221
2005,Australia,Lexus,227
2005,Australia,Mazda,227
2005,Australia,Mercedes-Benz,232
2005,Australia,Nissan,207
2005,Australia,Subaru,228
2005,Australia,Toyota,236
2005,Australia,Volkswagen,195
2005,Brazil,Audi,234
2005,Brazil,BMW,199
2005,Brazil,Chevrolet,234
2005,Brazil,Chrysler,233
2005,Brazil,Dodge,243
2005,Brazil,Ford,214
2005,Brazil,Honda,236
2005,Brazil,Hyundai,222
2005,Brazil,Jeep,227
2005,Brazil,Kia,246
2005,Brazil,Land Rover,207
2005,Brazil,Lexus,207
2005,Brazil,Mazda,225
2005,Brazil,Mercedes-Benz,235
2005,Brazil,Nissan,207
2005,Brazil,Subaru,185
2005,Brazil,Toyota,218
2005,Brazil,Volkswagen,250
2005,Canada,Audi,225
2005,Canada,BMW,240
2005,Canada,Chevrolet,201
2005,Canada,Chrysler,192
2005,Canada,Dodge,218
2005,Canada,Ford,221
2005,Canada,Honda,218
2005,Canada,Hyundai,225
2005,Canada,Jeep,231
2005,Canada,Kia,203
2005,Canada,Land Rover,227
2005,Canada,Lexus,198
2005,Canada,Mazda,234
2005,Canada,Mercedes-Benz,234
2005,Canada,Nissan,202
2005,Canada,Subaru,209
2005,Canada,Toyota,228
2005,Canada,Volkswagen,215
2005,France,Audi,246
2005,France,BMW,219
2005,France,Chevrolet,245
2005,France,Chrysler,245
2005,France,Dodge,215
2005,France,Ford,234
2005,France,Honda,205
2005,France,Hyundai,219
2005,France,Jeep,212
2005,France,Kia,235
2005,France,Land Rover,243
2005,France,Lexus,230
2005,France,Mazda,201
2005,France,Mercedes-Benz,245
2005,France,Nissan,233
2005,France,Subaru,228
2005,France,Toyota,208
2005,France,Volkswagen,224
2005,Germany,Audi,189
2005,Germany,BMW,204
2005,Germany,Chevrolet,232
2005,Germany,Chrysler,214
2005,Germany,Dodge,208
2005,Germany,Ford,202
2005,Germany,Honda,238
2005,Germany,Hyundai,235
2005,Germany,Jeep,238
2005,Germany,Kia,227
2005,Germany,Land Rover,226
2005,Germany,Lexus,195
2005,Germany,Mazda,218
